Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Coeur, poulet, cru","149,04","15,6","73,6","0,69","9,32",-,-,0,0,"0,83",0,0,"2,66","2,37","2,71",-,-,-,0,0,"0,06","1,45","0,78","1,98","1,91","0,07","0,72",0,0,136,"0,17",12,-,"0,35","5,96",-,16,"0,089",177,177,-,69,"6,59",9,-,-,-,-,-,"3,2","0,23","0,73","4,88","2,56","0,3","58,5","7,29"
"Coeur, poulet, cuit","177,28","26,4","64,9","0,1","7,92",-,-,0,0,"0,72",0,0,"2,26","2,01","2,3",-,-,-,0,0,"0,05","1,23","0,66",-,-,-,-,0,0,242,"0,12",19,-,"0,5","9,03",-,20,"0,11",199,132,-,48,"7,3",8,-,-,-,-,-,"1,8","0,07","0,74","2,8","2,65","0,32",80,"7,29"
"Coeur, veau, cru","105,52","16,1","77,3","1,64","3,84",-,-,0,0,"1,09",0,0,"1,24","0,85","0,85",0,0,0,0,"0,02","0,068","0,55","0,6","0,85","0,54",0,-,"0,03",0,127,"0,23","4,71",-,"0,32","3,92","1,9",20,"0,034",213,261,14,"90,5","1,44",6,-,1,"0,8",0,-,"6,5","0,43","0,84","6,2","2,79","0,37",11,"12,9"
"Coing, cru","56,42","0,48","83,5","13,4","0,1","6,3",-,"1,9",-,"0,4",0,-,"0,0085","0,032","0,043",0,0,0,0,0,0,"0,006","0,0015","0,027","0,036",0,0,0,0,0,"0,01",11,-,"0,13","0,7","0,4",8,-,17,197,-,4,"0,04",0,-,0,"0,55",-,-,15,"0,02","0,03","0,2","0,081","0,04",3,0
"Cola, non sucré, avec édulcorants","1,24","0,081","99,7","0,11","0,053","0,11",0,"0,003",0,"0,065",0,"0,019",0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,"0,024","2,26",-,"0,0068","0,065","0,8","2,38","< 0,0012",10,6,"< 2,2","9,88","< 0,016",0,0,0,0,0,-,0,"0,005","0,023",0,0,0,0,0
"Cola, non sucré, avec édulcorants, sans caféine","0,80",0,"99,7","0,2",0,"0,2",-,0,0,"0,038",0,"0,019",0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,"0,018",3,-,"0,002","0,02",-,0,0,10,7,-,7,"0,01",0,0,0,0,0,-,0,"0,005","0,023",0,0,0,0,0
"Cola, sucré","41,73","0,093","90,3","10,2","0,062","10,2",0,0,0,"0,04",0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,"0,017","1,92",-,"0,0044","0,11","0,8","2,44","< 0,0012",10,2,"< 2,2","6,71","< 0,016",0,0,0,0,0,-,0,0,0,0,0,0,0,0
"Cola, sucré, avec édulcorants","26,67","0,0093",95,"6,65","0,0033","6,65",0,"0,0033",0,"0,08",0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,011",0,-,0,0,0,0,0,17,10,0,"4,2",0,0,0,0,0,-,-,0,0,0,0,0,0,0,0
"Cola, sucré, sans caféine","44,00",0,"89,6",11,0,11,0,0,0,"0,06",0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,"0,025",2,-,0,"0,02",-,0,0,11,3,-,10,"0,01",0,0,0,0,0,-,0,0,0,0,0,0,0,0
"Cola, teneur en sucre et édulcorant inconnue (aliment moyen)","30,13","0,089",93,"7,31","0,059","7,27",0,"0,00088",0,"0,047",0,"0,0055",0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,"0,019","2,01",,"0,005","0,096","0,79","2,4","0,0006",10,"3,2","1,09","7,6","0,0081",0,0,0,0,0,,0,"0,0014","0,0066",0,0,0,0,0
Compote de pomme,"100,41","0,23","72,9","24,4","0,21","20,7","1,25","1,53","1,9","0,22",0,"0,46","0,017","0,0058","0,038",0,0,0,0,"0,00048","0,00048","0,014","0,0019","0,0058","0,031","0,0072",-,"< 0,00002","< 0,00002",0,0,"4,44",-,"0,043","0,11","0,2","5,09","0,027","5,33",104,< 10,0,"0,025",0,8,0,"0,17","0,53",-,"14,5","0,023","0,027","0,08","0,042","0,027","2,33",0
"Compote, tout type de fruits","103,31","0,51","71,6","24,8","0,23","23,2",0,"1,71",-,"0,38",0,-,"0,068","0,005","0,025",-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,027","20,1",-,"0,041","0,16","0,1","8,1","0,11","12,3",147,"0,3","10,3","0,062",0,152,0,"0,2",-,-,11,"0,01","0,01","0,12","0,1","0,1",4,0
"Compote, tout type de fruits, allégée en sucres","64,62",0,80,16,"0,069",14,"0,23",2,-,"0,52",0,-,"0,037","0,016","0,012",-,-,-,-,"0,0016","0,0029","0,019",-,"0,013","0,0098","0,0018",-,"< 0,000056","0,000075",0,"0,01","6,66",-,"0,034","0,089","0,1","5,51","0,029",12,107,< 10,4,"0,027",0,"46,7",0,"0,2",-,-,"15,5","0,01","0,01","0,12","0,1","0,1",4,0
"Compote, tout type de fruits, allégée en sucres, rayon frais","65,20","0,32","83,9","14,9","0,48","14,3","< 0,35","1,4",-,"0,3",0,-,"0,14","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002","< 0,0002",-,"0,011","4,7","< 3,6","0,04","0,09",< 20,"4,7","0,03","9,6",120,< 50,"4,38","< 0,05",< 21,"23,9",-,"0,37",-,-,"10,1","< 0,01","< 0,01","0,12","0,036","0,044",< 5,-
Comté,"420,20","27,2","33,2",0,"34,6",0,-,0,0,"3,3",0,-,"22,5","8,49","1,63","0,92","0,6","0,38","0,91","1,05","3,53","8,35","2,92","5,5","0,45","0,12",-,"0,025",-,115,"0,8",993,-,"0,61","0,49","24,4","43,7","0,03",681,116,"7,02",322,"3,84",263,-,-,"0,8",-,-,-,-,"0,38",-,-,-,5,"2,59"
"Concombre, pulpe et peau, cru","11,71","0,64",96,"2,04","0,11","1,34","0,67","0,6","0,031","0,39",0,"0,26","0,035","0,004","0,038",0,0,0,0,0,"0,003","0,028","0,0039","0,003","0,02","0,018",-,0,0,0,"0,012","19,2",-,"0,026","0,13","0,3","13,6","0,085","24,7",157,< 10,"4,8","0,095",0,45,0,"0,09","16,4",-,"8,25","0,022","0,025","0,15","0,28","0,037","12,3",0
