Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Rognon, porc, cuit","148,30","25,4","67,5","1,1","4,7",-,0,0,0,"1,3",0,0,"1,51","1,55","0,38",0,0,0,0,"0,01","0,05","0,85","0,6",-,-,-,-,0,0,480,"0,2",13,-,"0,68","5,29",10,18,"0,15",240,143,-,80,"4,15",78,-,0,-,-,-,"10,6","0,4","1,59","5,79","2,87","0,46",41,"7,79"
"Rognon, veau, braisé ou sauté/poêlé","167,00",26,"67,7",0,7,0,0,0,0,"0,29",0,0,"2,14","1,36","0,94",-,-,-,-,-,-,-,-,-,-,-,-,-,-,396,"0,28",-,-,-,5,10,-,-,-,-,-,-,"4,9",260,-,0,"1,2",-,-,-,"0,5",-,"6,3","5,6","0,55",-,42
"Rognon, veau, cru","94,84",16,78,"2,4","2,36",-,-,0,0,"1,2",0,0,"0,82","0,55","0,36",0,0,0,0,"0,01","0,046","0,41","0,34","0,38","0,059","0,006","0,031","0,05","0,02",364,"0,46","10,2",-,"0,44","5,08","4,2","15,5","0,1",243,248,120,185,"1,84",86,-,1,"0,2",-,-,"9,5","0,35","1,9","6,5","3,65","0,44","50,5","25,6"
"Romarin, frais","92,38","3,31","67,8","6,6","5,86",-,-,"14,1",0,"2,35",0,0,"2,84","1,16","0,9",-,-,-,"0,019","0,014","0,12","1,92","0,23",-,-,-,-,-,-,0,"0,065",317,-,"0,3","6,65",-,91,"0,96",66,668,-,26,"0,93",0,-,0,-,-,-,"21,8","0,036","0,15","0,91","0,8","0,34",109,0
"Romarin, séché","242,32","4,88","9,31","21,5","15,2",-,-,"42,6",0,"6,53",0,0,"7,37","3,01","2,34",0,0,0,"0,05","0,037","0,32","4,99","0,6",-,-,-,-,0,0,0,"0,13",1280,-,"0,55","29,3",-,220,"1,87",70,955,-,50,"3,23",0,-,0,-,-,-,"61,2","0,51","0,43",1,-,"1,74",307,0
Rond de jambon cuit,"182,20","20,3",66,"1,4","10,6",0,-,0,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roquefort,"356,50","19,6","43,8",0,"30,9",0,0,0,0,"6,44",0,"0,9","22,4","6,1","1,3","0,88","0,66","0,67","2,16","1,29","3,4","7,28","3,14","4,95","0,59","0,26","0,02","0,022",-,"74,7","3,7",660,2600,"0,024","0,1","51,2","31,9","0,019",392,115,< 10,1480,"1,83",212,-,-,"0,12",-,-,0,"0,044","0,67","0,73","0,62","0,081","29,1","0,57"
"Roquette, crue","24,66","2,58","91,7","2,1","0,66","2,05",-,"1,6",-,"1,4",0,-,"0,086","0,049","0,32",0,0,0,0,"0,003",0,"0,072","0,004",-,-,-,-,0,0,0,"0,068",160,-,"0,076","1,46",-,47,"0,32",52,369,-,27,"0,47",0,1420,0,"0,43",109,-,15,"0,044","0,086","0,31","0,44","0,073",97,0
Rosette ou Fuseau,"380,26","24,2","34,9","1,79","30,7","1,46",-,0,0,"5,43",0,0,"11,8","13,7","3,74",-,-,-,"0,033","0,029","0,4",7,"4,18","12,7",3,"0,17","0,065",-,-,"97,7","4,56",44,2850,"0,3","1,2","36,2","40,3","< 0,1",205,488,7,1790,"2,9",< 2,-,"1,11","0,35",-,-,"2,3","0,68","0,22","6,87","1,21","0,48","25,3","0,82"
Rostis ou Galette de pomme de terre,"178,07","2,21","63,5",21,"9,47","0,68","20,4","2,64",0,"2,16",0,0,"2,53","3,61","2,92","0,01","< 0,01","0,01","0,01","0,02","0,06","0,89","0,29","3,61","2,74","0,18","< 0,01","< 0,01","< 0,01",15,"1,04",31,704,"0,1","0,65",< 20,24,"0,15",79,480,< 20,419,"0,43",< 21,< 5,"< 0,25","2,71","< 0,8",-,"0,63","0,069","0,045","2,3","0,46","0,18","17,8",-
"Rôti de volaille en salaison, cuit","108,69",22,-,"1,28","1,73","0,97",-,"0,44",0,2,0,0,"0,55",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,806,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Rouget-barbet de roche, cru","157,93","18,4","70,6",0,"9,37",0,0,0,0,"1,18",0,0,"2,72","3,54","2,52",-,-,-,-,"0,02","0,27","1,75","0,43","1,76","0,044","0,024",-,"0,99","0,63","56,8","0,17","22,8",140,"0,08","0,49","11,5","30,7","< 0,1",218,343,"36,2","66,3","0,37","8,4",0,"1,12","0,51",-,-,0,"0,06","0,065","4,46","0,34","0,37",11,"4,52"
"Rouget-barbet de roche, vapeur","143,20","24,1","69,6",0,"5,2",0,-,0,0,"1,33",0,0,"0,73","3,95","0,29","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,54","0,17","3,8","0,25","0,03","< 0,01","< 0,01","< 0,01","63,9","0,24",21,162,"0,05","0,48",40,33,"0,02",230,410,50,"95,6","0,39","23,1",-,"1,27","2,1","1,59",-,"3,17","0,02","0,032","3,47","0,41","0,17","14,3","3,74"
"Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)","96,70","16,3",-,0,"3,5",0,-,0,0,"0,21",0,0,"0,9",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,2",14,-,-,"0,3",-,-,-,-,-,-,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roulade de porc pistachée,"268,40","17,7","54,5","3,95","20,2","0,7",-,"1,2",0,"2,5",0,0,"7,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,5",-,1560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rouleau de printemps,"106,66","4,57","73,9",18,"1,82","3,6",13,"1,2",0,"0,54",0,0,"0,66","0,56","0,46","< 0,002","< 0,0019","< 0,0019","< 0,0019","0,0031","0,025","0,43","0,16","0,52","0,35","0,057","0,017","0,01","0,0085","13,9","0,29","22,5",-,"0,1","0,4",25,"12,6","0,15","14,9",87,5,116,"0,45",< 2,74,-,"0,18",-,-,"1,5","< 0,04","< 0,04","0,64","< 0,16","0,11",< 16,"0,16"
"Roussette ou petite roussette ou saumonette, crue","97,70","23,3","75,2",0,"0,5",0,-,0,0,"1,08",0,0,"0,11","0,087","0,13",0,0,0,-,0,"0,0014","0,078","0,028","0,037","0,0032","0,00046",-,"0,012","0,086","29,8","0,31","11,7",0,"< 0,1","0,37","26,2","20,9","< 0,1",147,258,"28,8",125,"0,87",< 2,0,"< 0,5","0,65","0,1",-,0,"0,025","0,083","3,14","0,2","0,25","3,07","1,95"
"Roussette ou petite roussette ou saumonette, cuite","256,40","25,4",-,0,"17,2",0,0,0,0,"1,01",0,0,"4,11","6,98","4,36",-,-,-,-,-,"0,037","2,94","0,024","2,2","0,21","0,029","0,011","0,36","1,51","60,1","0,2",-,-,"< 0,1",-,"24,8",-,"< 0,1",-,-,42,-,"0,67",5,0,"< 0,5",-,-,-,-,-,-,-,"0,24","0,36",3,-
"Rutabaga, cru","28,65","1,17","89,5","5,7","0,13","4,46","0,4","2,6",-,"0,66",0,-,"0,023","0,02","0,068",0,0,0,0,0,0,"0,02","0,003","0,012","0,018","0,03",0,0,0,0,"0,028","45,2",-,"0,031","0,35","0,5",17,"0,14","47,8",349,0,11,"0,21",0,1,0,"0,3","0,3",-,33,"0,068","0,04","1,25","0,14","0,11",24,0
"Rutabaga, cuit","22,38","0,93","91,5","4,26","0,18","3,95","0,31","1,8",-,"0,51",0,-,"0,029","0,027","0,095",0,0,0,0,0,0,"0,026","0,003",-,-,-,-,0,0,0,"0,013",18,-,"0,029","0,18",-,10,"0,097",41,216,-,5,"0,12",0,1,0,"0,24","0,2",-,"18,8","0,082","0,041","0,72","0,16","0,1",15,0
Sablé à la noix de coco,"475,30","7,1","2,72","66,5","20,1","24,2",-,"2,65",-,1,0,0,"12,3","4,54","0,66","0,82","0,45","0,24","0,45","0,54","1,81","5,65","1,98","3,83","0,61","0,03","0,0098","< 0,005","< 0,005",-,"0,74",-,-,-,-,-,-,-,-,-,-,295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sablé au cacao ou chocolat, au praliné ou autre","492,72","6,63","3,61","61,2","24,6","27,3",-,3,-,"0,94",0,0,"10,7","5,89","6,08","0,26","0,16","0,1","0,19","0,28","0,74","6,93","1,52","5,89","4,39","0,37","0,015","< 0,005","< 0,005",-,"0,94",-,-,-,-,-,-,-,-,-,-,378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sablé aux fruits (pomme, fruits rouges, etc.)","480,00","5,85",-,66,"21,4",32,-,"2,55",-,"0,96",0,0,"12,1","6,58","1,17","0,59","0,39","0,29","0,52","0,64","2,1","5,87","1,67","4,52","0,94","0,085",-,-,"< 0,01",-,"0,56",-,-,-,-,-,-,-,-,-,-,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sablé pâtissier,"477,22","8,38",5,"59,4","22,9",-,"29,3","3,3",-,"0,99",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,"0,41","31,9",107,< 1,< 1,< 10,"21,8",< 1,131,123,"6,3",163,< 1,173,< 50,"< 0,2","1,4",-,-,-,"< 0,05","0,09","0,3","0,58","0,09","14,5","0,79"
"Sabre, cru","125,10",18,"74,8",0,"5,9",0,-,0,0,"1,2",0,0,"0,94","1,36","1,83",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,28",12,-,-,"0,6",-,-,-,150,270,-,110,-,15,-,-,-,-,-,0,"0,14","0,13",3,-,-,-,-
Safran,"344,25","11,4","11,9","61,5","5,85","42,4","19,1","3,9",0,"5,45",0,0,"1,59","0,43","2,07",0,0,0,0,0,"0,006","1,16","0,25",-,-,-,-,0,0,0,"0,37",111,-,"0,33","11,1",-,264,"28,4",252,1720,-,148,"1,09",0,318,0,"1,69",-,-,"80,8","0,12","0,27","1,46",-,"1,01",93,0
Saindoux,"895,50",0,"0,6",0,"99,5",0,0,0,0,"0,011",0,0,"41,1","43,3","10,1",0,0,0,"0,1","0,16","1,44","24,4","14,1","34,3","8,95","0,91",0,0,0,95,"0,005",1,-,"0,02","0,08","1,8",1,"0,014",3,1,"6,9",2,"0,11",9,0,"2,5","0,5",0,-,0,0,0,0,0,"0,02",0,0
Sainte-Maure (fromage de chèvre),"358,40","22,1","42,9",0,30,0,-,0,0,"2,35",0,-,"18,4","8,14","1,1","0,69","0,59","0,71","2,28","0,98","2,24","5,25","3,38","5,84","0,63","0,16",-,"0,0088",-,122,"1,81",122,1100,"< 0,1","0,3",40,"14,5",-,233,168,"10,5",543,"0,62",160,-,"< 0,5","0,41",-,-,-,"< 0,04","0,9","1,25","1,04","0,19","80,2","0,1"
Sainte-Maure de Touraine (fromage de chèvre),"296,20","19,6","53,4",0,"24,2",-,-,0,0,"2,02",0,-,"18,7","3,96","0,76",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,41",-,-,-,-,-,-,-,-,-,-,526,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint-Félicien,"306,50","11,6","56,2",0,"28,9","< 0,2",-,0,0,"1,7",0,"0,38","21,2","5,18","0,56",1,"0,65","0,4","0,85","1,1","3,76","9,94","2,64","4,24","0,35","0,1","0,03","< 0,01","< 0,01","81,3","1,1",110,758,"0,02","0,04",50,"9,6","< 0,01",160,130,< 20,438,"0,44",205,114,"< 0,25","0,65","2,41",-,"< 0,5","0,053","0,61","1,57","2,11","0,31","57,7","1,23"
Saint-Marcellin,"274,30","13,9","58,3",0,"24,3","< 0,2",-,0,0,"1,8",0,"0,69","18,1","3,86","0,47","0,72","0,49","0,3","0,78","1,01","3,44","8,57","2,18","3,15","0,3","0,07","0,02","0,02","< 0,01","93,4","1,08",140,783,"0,04","0,05",< 20,12,"0,01",210,180,< 20,433,"0,54",192,113,"< 0,25","0,61","2,15",-,"< 0,5","< 0,015","0,91","1,53","2,49","0,53","93,4","1,83"
"Saint-Nectaire, fermier","357,40","22,3",-,0,"29,8","< 0,5",-,0,0,"1,08",0,-,"19,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,08",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Saint-Nectaire, laitier","334,20","22,8",-,0,27,"< 0,5",-,0,0,"1,7",0,-,"17,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,7",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Saint-Nectaire, sans précision","349,20","23,4","44,6",0,"28,4","< 0,5",-,0,0,"3,17",0,-,"18,8","6,4","0,74","0,84","0,43","0,3","0,71","0,84","2,67","6,16","2,72","5,7","0,41","0,23",-,-,-,93,"1,41",540,-,"0,067","0,22","31,4",24,"0,035",227,"83,8","5,11",620,"2,83",-,-,-,-,-,-,-,-,"0,42",-,-,-,-,"1,03"
Saint-Paulin (fromage à pâte pressée non cuite demi-ferme),"301,20","22,2","46,3",0,"23,6","< 0,25",-,0,0,"3,58",0,-,"16,7","5,94","0,7","0,67","0,66","0,43","0,71","0,83","2,57","7,2","3,07","3,71","0,52","0,11",-,"0,0074",-,100,"1,8",710,-,"0,086","0,17","13,8","26,8","0,059",510,"71,4",8,711,4,258,-,"0,3","0,78",0,-,-,"0,05","0,33","0,1","0,34","0,09",60,"1,38"
"Saint-Pierre, cru","86,80","19,9","77,8",0,"0,8",0,-,0,0,"1,11",0,0,"0,17","0,11","0,28",-,-,-,-,0,0,"0,11","0,056",-,-,-,-,"0,02","0,17",51,"0,17","31,5",70,"0,27","3,6",20,"22,5","0,1",180,307,-,60,"0,95",0,-,0,0,-,-,0,0,0,0,0,"0,95",-,0
Saké ou Alcool de riz,"20,00",0,"78,4",5,0,0,-,0,0,"0,047","16,1",0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,"0,005",5,-,"0,009","0,1",-,6,-,6,25,-,2,"0,02",0,0,0,0,0,-,0,0,0,0,-,0,0,0
"Salade composée avec viande ou poisson, appertisée, égouttée","105,54","8,06","76,7","6,4","5,3","1,9","3,3",2,0,"1,5",0,-,"0,16","3,27","1,54","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,12","0,04","2,24","1,08","0,28","0,016","0,016","0,15","15,2","0,95",22,584,"0,07","0,7",< 20,20,"0,1",92,220,30,381,"0,38",< 21,781,"0,44","2,04","9,75",-,-,"0,032","0,022","4,13","0,2","0,12","11,1","1,23"
"Salade de chou ou Coleslaw, avec sauce, préemballée","99,78","0,94","80,4","5,78","8,1","4,72","< 0,35",3,"1,06","1,45",0,"0,34","0,63","4,83","2,2","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,01","0,41","0,13","4,39","1,54","0,66","< 0,01","< 0,01","< 0,01",-,"0,88",39,556,"0,03","1,3",< 20,"9,3","0,26",29,210,< 20,353,"0,27",-,1340,"< 0,25","2,21",23,-,"21,6","0,026","< 0,01","< 0,1","0,21","0,093","14,6",-
"Salade de fruits, crue","59,22","0,61","77,9","13,7","0,22","13,1",-,"1,28",-,"0,48",0,-,"0,031","0,017","0,082",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,03","0,0037","14,5",-,"0,071","0,28",1,"16,4","0,34","16,4",197,"4,9","0,81","0,094",0,35,0,"0,44",-,-,22,"0,045","0,034","0,32","0,16","0,2","21,3",0
"Salade de pâtes aux légumes, avec poisson ou viande","166,22","5,19","70,3",14,"9,94","2,16","7,58","1,98",0,"1,61",0,-,"1,74","5,85","1,91",-,-,-,-,-,-,-,-,-,-,-,-,"0,0023","0,0098",11,"0,95","18,5",492,"0,091","0,69","3,13",20,"0,15","66,2",177,"5,3",378,"0,52",16,494,"0,23","0,55",-,-,"5,56","0,069","0,053","1,93","0,24","0,13","14,5","0,23"
"Salade de pâtes, végétarienne","147,30","5,7","73,9","12,9","8,1","2,3",10,"1,7",0,"0,73",0,-,"2,37","1,46","3,92",-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,"0,58",14,86,"0,06","0,6",4,11,"0,2",37,84,-,51,"0,4",7,1180,0,"1,95",-,-,21,"0,04","0,02","0,4",0,"0,09",16,0
"Salade de pomme de terre à la piémontaise, préemballée","131,88","4,11","74,9","7,98","9,28","1,17",-,"1,51",0,"1,5",0,-,"1,15","4,06","1,8","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,015","0,75","0,26","4,06","1,28","0,52",-,-,"< 0,01","34,2","0,97",-,-,-,-,"7,5",-,-,-,195,-,384,-,-,-,"0,5","2,07",-,-,"7,62",-,-,-,-,-,-,-
Salade de pommes de terre maison,"124,12","2,68",76,"9,9","8,2",-,-,"1,3",0,"1,95",0,-,"1,43","2,48","3,74",-,-,-,0,"0,011","0,013","1,03","0,37",-,-,-,-,-,-,68,"1,33",19,-,"0,12","0,65",-,15,"0,1",52,254,-,529,"0,31",29,36,0,-,-,-,10,"0,077","0,06","0,89","0,53","0,14",7,0
Salade de riz,"124,07","5,13","72,5","16,1","4,35",1,"14,3","1,7",0,"1,49",0,-,"0,53","2,23",-,-,-,-,-,"0,0042","0,0083","0,36","0,12","2,23","1,05","0,2",-,-,"0,013","6,5","1,1","23,3",-,"< 0,1","0,43",< 5,"13,1","0,1","66,6",143,"17,7",431,"0,3",< 2,34,"< 0,5","1,63",-,-,"4,48","0,058","0,045","2,65","0,14","0,13","33,5","0,43"
"Salade de thon et légumes, appertisée, égouttée","109,86","9,15","76,5","7,74","4,7","3,08","4,1","2,7",0,"1,79",0,-,"0,56","1,83","1,76","< 0,05","< 0,05","< 0,05","< 0,05","< 0,05","0,008","0,38","0,12",-,"1,15","0,056",-,"0,008","0,039","19,2","1,11","20,7",731,"0,1","1,1",2,"25,1","0,1","88,4",232,-,445,"0,6",< 2,-,"< 0,5","1,6",-,-,"2,75","< 0,04","0,053","4,45","< 0,16","0,29",31,"1,45"
"Salade ou chicorée frisée, crue","17,77","1,48","92,9","2,4","0,25","0,7",-,"2,45",-,"1,35",0,-,"0,061","0,005","0,11",0,0,0,0,0,"0,0035","0,052","0,0025","0,004","0,075","0,013",-,0,0,0,"0,077",76,-,"0,2","0,85","0,4","22,5","0,42","37,5",367,1,"33,5","0,61",0,3430,0,"2,26",298,-,"18,5","0,07","0,088","0,45","1,03","0,063",126,0
"Salade verte, crue, sans assaisonnement","10,94","1,01","96,1","1,5","0,1","0,83","< 0,5","1,3",-,"0,54",0,-,"0,028","0,0035","0,037",-,-,-,-,-,"0,00052","0,019","0,0029","0,0022","0,021","0,016",-,-,-,"< 0,5","0,046","35,3",61,"0,061","0,64",< 5,"15,3","0,22","23,5",260,"3,23","18,3","0,18",0,2000,"< 0,5","0,17",-,-,"1,95","0,041","< 0,04","0,14","< 0,16","0,052","55,3",0
Salami,"451,76","16,3","33,2","2,59","41,8","< 0,2","< 0,1",0,0,"4,71",0,0,"16,2","18,3","5,24","< 0,01","< 0,01","< 0,01","0,03","0,04","0,55","9,78","5,59","15,9","4,4","0,35","0,11","< 0,01","< 0,01","95,9","4,05","7,2",2310,"0,07",1,20,15,"0,28",150,300,< 20,1620,"1,9",< 21,0,"0,68","1,26","< 0,8",9,"3,61","0,3","0,17","3,52","1,02","0,24","8,54","1,58"
Salami porc et boeuf,"351,44","21,5","43,2","1,56","28,8","0,61",-,0,0,"5,02",0,0,"10,4","12,9","3,71",0,0,"0,002","0,048","0,026","0,49","6,33","3,27","11,4","3,11","0,15",-,"0,004","0,007","98,5","4,37","19,5",-,"0,23","1,46",-,"19,5","0,96",192,340,-,1750,"2,8",11,0,"0,95","0,43","3,2",-,0,"0,38","0,28","6,08","1,11","0,45",3,"1,34"
Salami pur porc,"398,58","22,6","36,2","1,22","33,7",0,-,0,0,"6,3",0,0,"11,9",16,"3,74",0,0,0,0,0,"0,52","7,64","3,56",-,-,-,-,0,0,79,"5,65",13,-,"0,16","1,3",-,22,"0,07",229,378,-,2260,"4,2",0,-,-,-,-,-,0,"0,93","0,33","5,6","1,06","0,55",2,"2,8"
Salami type danois,"459,90","17,1","36,8","1,35","42,9","0,56",-,0,0,"4,75",0,0,"15,4","17,8","5,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,"4,13",-,-,-,-,-,-,-,-,-,-,1650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salers,"393,00","27,6","38,6",0,"31,4","< 0,2",-,0,0,"4,4",0,"1,35",20,"7,78","0,75","1,06","0,66","0,42","0,88","1,07","3,62","8,14","3,39","6,8","0,48","0,18","0,02","< 0,01","< 0,01",103,"2,19",680,1470,"0,03","0,11",< 20,25,"0,02",480,96,< 20,875,"2,9",311,107,"0,31","0,72","2,03",-,"< 0,5","0,063","0,37","< 0,1","0,31","0,079","37,5","1,86"
"Salicorne (Salicornia sp.), fraîche","9,24","0,67","92,2","1,1","0,24",-,-,"2,46",-,"3,34",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,56","34,3",-,"0,07","4,89",0,"75,3","0,7","19,5",119,-,1020,"0,48",-,-,-,"0,51",-,-,-,-,-,-,-,-,-,-
"Salsifis noir, cru","76,47","3,21",77,"15,3","0,27",-,-,"3,3",-,"0,9",0,-,"< 0,1",-,-,-,-,-,-,-,-,-,-,-,"0,024","0,036",-,0,-,0,"0,031","42,1",-,"0,1","0,7","0,2","27,6","0,27","84,5",384,-,"12,3","0,38",0,-,0,"0,8",-,-,"5,5","0,12","0,14","0,4","0,37","0,17",26,0
"Salsifis, appertisé, égoutté","24,03","1,42","91,5","4,25","0,15",1,"2,5","2,5",-,"0,91",0,-,"0,07",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,71",21,-,-,-,"0,2","8,9",-,-,173,"0,6",235,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-
"Salsifis, cuit","59,01","2,07",-,"12,3","0,17","2,9",-,"3,1",-,"0,74",0,-,"0,041","0,003","0,074",0,0,0,0,0,"0,003","0,035","0,002",-,-,-,-,0,0,0,"0,04",47,-,"0,07","0,55","0,2",18,"0,21",56,283,-,16,"0,3",0,0,0,"0,19","0,3",-,"4,6","0,056","0,17","0,39","0,28","0,22",15,0
"Salsifis, surgelé, cru","27,31","2,34","85,8","4,15","0,15","2,5",-,"5,8",-,"0,043",0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,043",-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Samossas ou Samoussas,"233,02","9,33","55,2","18,1","13,7","2,67","15,3","1,8",0,"1,87",0,0,"2,78","5,27","3,21","< 0,05","< 0,05","< 0,05","< 0,05","0,01","0,051","0,97","0,49",-,-,"0,041",-,-,-,23,"1,26",31,790,"< 0,1","1,3",3,"17,8","0,4",95,182,"38,6",493,"0,87",< 2,34,"< 0,5","1,45",-,-,"0,7","0,068","0,12","1,5","0,22","0,13",20,"0,34"
"Sandre, cru","82,92","18,3","78,4",0,"1,08",0,-,0,0,"1,12",0,0,"0,21","0,24","0,31",-,-,-,-,0,"0,023","0,16","0,027","0,24","0,052","0,0092",-,"0,069","0,18","70,3","0,12",54,-,"0,014","0,3","21,5",29,"0,03",220,340,20,57,"0,4",0,-,"0,7","1,35","0,13","0,78",1,"0,16","0,25","2,31",-,-,-,-
Sandwich (aliment moyen),"44,00",11,,,,,,,0,"1,92",0,0,,,,,,,,,,,,,,,,,,,"1,39",,,,,,,,,,,549,,,,,,,,,,,,,,,
Sandwich baguette (aliment moyen),"283,30","10,7","40,6",32,"12,5","1,82",,"2,18",0,"2,15",0,0,"4,73","3,76","2,85",,,,,,,,,,,,,,,,"1,58",,,,,,,,,,,620,,,,,,,,,,,,,,,
"Sandwich baguette, camembert, beurre","336,00","11,9","33,2","34,3","16,8","1,21","33,1","1,74",0,"2,22",0,0,"10,7","4,5","0,75",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,1","1,69",144,-,"0,091","0,5","9,02","19,2","0,33",158,115,"4,65",621,"1,27",132,"68,6","0,22","0,55",-,-,0,"0,054","0,21","0,81","0,42","0,11","37,8","0,56"
"Sandwich baguette, crudités diverses, mayonnaise","248,26","6,54","49,7","30,1","11,3","1,93","27,9","2,16",0,"1,46",0,0,"2,47","2,77","5,64",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,1","1,07","29,1",-,"0,083","0,64","22,9","15,2","0,32","61,9",162,"2,54",431,"0,47","1,11",672,"0,065","3,96",-,-,"6,03","0,054","0,048","0,68","0,28","0,073","25,3","0,051"
"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise","301,10","12,4","40,2","31,6","13,9","1,35",30,"1,73",0,"1,58",0,0,"3,16","3,31","7,03",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,9","1,12","27,6",-,"0,092","0,79","28,6","17,5","0,3","99,5",163,"8,82",476,"1,04","1,36",111,"0,08","4,68",-,-,"2,22","0,059","0,076","1,88","0,39","0,13","18,9","0,29"
"Sandwich baguette, jambon emmental","278,70","13,3","41,3","26,9","13,1","2,55",-,3,0,"2,42",0,0,"5,3","3,58","0,77","0,28","0,17","0,12","0,2","0,24","0,81","2,47","1,01","2,88","0,52","0,12",-,-,"< 0,01",-,"1,58",-,-,-,-,-,-,-,-,-,-,635,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sandwich baguette, jambon, beurre","276,90",11,"39,9","33,7","10,9","1,81","31,9","2,45",0,"2,32",0,0,"6,07","3,33","0,9","0,28","0,18","0,13","0,22","0,27","0,9","2,86","0,91","3,19","0,72","0,18",-,-,"< 0,01","37,6","1,69","54,6",-,"0,11","0,7","5,6","34,7","0,55",188,163,"3,41",675,"1,22","71,7",20,"0,22","0,43",-,-,"3,18","0,31","0,098","2,31","0,33","0,16",19,"0,09"
